Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,456663233,16,12,4,75.00,3.42,9.74,1.18,3.08,False
Random Generator,2,1805932992,16,11,5,68.75,2.44,3.88,1.87,3.54,False
Random Generator,3,1896479969,16,10,6,62.50,3.19,9.05,1.95,3.91,False
Random Generator,4,525061284,16,13,3,81.25,3.71,10.37,1.45,3.02,False
Random Generator,5,869877924,16,11,5,68.75,3.27,8.01,1.64,3.49,False
Random Generator,6,2106842306,16,13,3,81.25,3.34,9.54,0.93,2.64,False
Random Generator,7,-2053028284,16,13,3,81.25,4.00,10.77,1.43,3.06,False
Random Generator,8,-1417589889,16,15,1,93.75,3.29,6.16,1.09,3.52,False
Random Generator,9,480147164,16,11,5,68.75,3.61,8.01,1.43,3.70,False
Random Generator,10,-1357489201,16,10,6,62.50,3.33,9.74,1.77,3.24,False
Random Generator,11,1883538722,16,13,3,81.25,2.92,6.46,1.25,3.37,False
Random Generator,12,1940081913,16,11,5,68.75,3.18,8.36,1.37,3.64,False
Random Generator,13,1547776983,16,11,5,68.75,3.06,6.88,1.32,2.56,False
Random Generator,14,1940454868,16,11,5,68.75,3.98,9.85,1.52,3.31,False
Random Generator,15,-1497595075,16,10,6,62.50,3.94,9.00,1.58,3.37,False
Random Generator,16,-1315607279,16,13,3,81.25,3.26,8.51,1.18,2.93,False
Random Generator,17,1297328970,16,12,4,75.00,3.35,7.57,1.83,3.87,False
Random Generator,18,1738025294,16,13,3,81.25,3.57,10.42,1.09,3.18,False
Random Generator,19,1721371243,16,12,4,75.00,3.43,8.92,1.32,3.64,False
Random Generator,20,-892663632,16,11,5,68.75,2.85,9.59,1.54,3.11,False
Random Generator,21,956056078,16,14,2,87.50,2.97,5.84,1.34,3.33,False
Random Generator,22,-66880481,16,13,3,81.25,3.82,8.93,1.47,3.69,False
Random Generator,23,-158594027,16,12,4,75.00,3.68,8.27,1.21,3.45,False
Random Generator,24,549249228,16,14,2,87.50,3.47,7.54,1.27,3.46,False
Random Generator,25,2097100637,16,14,2,87.50,2.37,6.12,1.60,3.26,False
Random Generator,26,-488468587,16,12,4,75.00,3.49,9.32,1.56,3.88,False
Random Generator,27,390184793,16,13,3,81.25,2.57,4.98,1.69,3.55,False
Random Generator,28,-1442993957,16,13,3,81.25,4.27,9.25,1.80,3.67,False
Random Generator,29,1265053073,16,11,5,68.75,3.76,8.24,1.80,3.92,False
Random Generator,30,116408938,16,11,5,68.75,3.53,8.98,1.77,3.64,False
Constraint Generator,1,602150014,16,16,0,100.00,2.02,2.48,0.25,0.58,True
Constraint Generator,2,927177099,16,16,0,100.00,2.11,2.49,0.24,0.46,True
Constraint Generator,3,585601329,16,16,0,100.00,2.07,2.49,0.25,0.58,True
Constraint Generator,4,660810789,16,16,0,100.00,2.10,2.49,0.25,0.54,True
Constraint Generator,5,834824488,16,16,0,100.00,2.09,2.49,0.25,0.53,True
Constraint Generator,6,-345938734,16,16,0,100.00,2.04,2.46,0.23,0.57,True
Constraint Generator,7,922387157,16,16,0,100.00,2.09,2.50,0.25,0.58,True
Constraint Generator,8,1315731213,16,16,0,100.00,2.14,2.50,0.25,0.56,True
Constraint Generator,9,1658613482,16,16,0,100.00,2.07,2.47,0.24,0.57,True
Constraint Generator,10,1847785359,16,16,0,100.00,2.11,2.50,0.25,0.58,True
Constraint Generator,11,993111728,16,16,0,100.00,2.13,2.49,0.20,0.48,True
Constraint Generator,12,-1832541922,16,16,0,100.00,2.08,2.49,0.25,0.52,True
Constraint Generator,13,787472371,16,16,0,100.00,2.08,2.46,0.25,0.57,True
Constraint Generator,14,1550742025,16,16,0,100.00,2.10,2.49,0.25,0.60,True
Constraint Generator,15,-295176768,16,16,0,100.00,2.14,2.49,0.19,0.52,True
Constraint Generator,16,1748905126,16,16,0,100.00,2.07,2.48,0.25,0.60,True
Constraint Generator,17,1284482068,16,16,0,100.00,2.00,2.44,0.25,0.56,True
Constraint Generator,18,-1153757155,16,16,0,100.00,2.09,2.45,0.25,0.59,True
Constraint Generator,19,480186955,16,16,0,100.00,2.07,2.45,0.25,0.58,True
Constraint Generator,20,669844589,16,16,0,100.00,2.16,2.45,0.25,0.60,True
Constraint Generator,21,1097001417,16,16,0,100.00,1.99,2.41,0.25,0.56,True
Constraint Generator,22,-1493575948,16,16,0,100.00,2.15,2.48,0.25,0.56,True
Constraint Generator,23,-1426141198,16,16,0,100.00,2.03,2.47,0.25,0.57,True
Constraint Generator,24,-696996778,16,16,0,100.00,2.11,2.49,0.25,0.50,True
Constraint Generator,25,1543920011,16,16,0,100.00,2.06,2.46,0.17,0.57,True
Constraint Generator,26,-1428696166,16,16,0,100.00,2.16,2.49,0.24,0.59,True
Constraint Generator,27,1538499022,16,16,0,100.00,2.13,2.48,0.25,0.49,True
Constraint Generator,28,2006011355,16,16,0,100.00,2.03,2.49,0.25,0.57,True
Constraint Generator,29,-1865157179,16,16,0,100.00,2.08,2.47,0.25,0.59,True
Constraint Generator,30,466571619,16,16,0,100.00,2.00,2.43,0.23,0.54,True
