Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,323385398,16,12,4,75.00,3.82,11.09,1.51,3.00,False
Random Generator,2,1358121629,16,15,1,93.75,2.32,4.34,1.46,3.14,False
Random Generator,3,-156722407,16,12,4,75.00,3.06,7.42,1.68,3.27,False
Random Generator,4,209174963,16,12,4,75.00,2.63,6.52,1.54,3.50,False
Random Generator,5,-1995350077,16,12,4,75.00,2.63,7.93,1.74,3.95,False
Random Generator,6,-811695433,16,10,6,62.50,3.68,8.83,1.27,2.49,False
Random Generator,7,1692598622,16,15,1,93.75,3.03,4.84,1.16,3.02,False
Random Generator,8,1745967429,16,13,3,81.25,3.07,6.58,1.25,3.81,False
Random Generator,9,1896494657,16,13,3,81.25,3.38,6.91,1.34,3.44,False
Random Generator,10,452106807,16,11,5,68.75,3.66,8.43,1.80,3.81,False
Random Generator,11,-1018209061,16,12,4,75.00,3.16,6.81,1.48,3.05,False
Random Generator,12,-728958716,16,11,5,68.75,3.27,6.62,1.57,3.63,False
Random Generator,13,1480960610,16,15,1,93.75,3.05,6.07,1.45,3.44,False
Random Generator,14,-937848649,16,14,2,87.50,3.43,6.89,1.31,2.69,False
Random Generator,15,-1998766976,16,13,3,81.25,3.22,7.86,1.28,3.41,False
Random Generator,16,1928787757,16,14,2,87.50,3.96,10.12,1.36,3.65,False
Random Generator,17,-801942825,16,12,4,75.00,3.03,7.87,1.25,3.53,False
Random Generator,18,2121318055,16,11,5,68.75,3.63,9.72,1.83,3.86,False
Random Generator,19,-359115957,16,14,2,87.50,2.94,5.85,1.35,3.64,False
Random Generator,20,-1374295238,16,13,3,81.25,2.94,6.91,1.55,3.39,False
Random Generator,21,-593229938,16,11,5,68.75,3.61,8.53,1.90,3.03,False
Random Generator,22,1849712197,16,14,2,87.50,2.60,5.33,1.24,3.45,False
Random Generator,23,-33246141,16,13,3,81.25,2.60,5.00,1.59,3.26,False
Random Generator,24,921832275,16,14,2,87.50,3.98,9.28,1.43,2.96,False
Random Generator,25,15290325,16,12,4,75.00,2.88,7.20,1.62,3.35,False
Random Generator,26,1342466917,16,13,3,81.25,3.60,8.67,1.32,3.92,False
Random Generator,27,526621688,16,13,3,81.25,2.72,4.86,1.64,3.44,False
Random Generator,28,-270647872,16,13,3,81.25,3.92,10.07,1.66,3.80,False
Random Generator,29,1739188038,16,12,4,75.00,3.41,8.83,1.44,3.08,False
Random Generator,30,1795870623,16,8,8,50.00,3.60,7.84,1.87,3.82,False
Constraint Generator,1,1665112768,16,16,0,100.00,0.80,1.57,0.47,0.50,True
Constraint Generator,2,-270741208,16,16,0,100.00,0.90,1.71,0.47,0.50,True
Constraint Generator,3,1698094118,16,16,0,100.00,1.04,1.73,0.47,0.50,True
Constraint Generator,4,1809522397,16,16,0,100.00,0.94,1.87,0.47,0.50,True
Constraint Generator,5,-1274480999,16,16,0,100.00,1.10,1.57,0.47,0.50,True
Constraint Generator,6,1106599376,16,16,0,100.00,0.98,1.55,0.47,0.50,True
Constraint Generator,7,-822681112,16,16,0,100.00,1.01,1.37,0.47,0.50,True
Constraint Generator,8,387729583,16,16,0,100.00,0.74,1.61,0.47,0.50,True
Constraint Generator,9,169549997,16,16,0,100.00,0.99,1.45,0.47,0.50,True
Constraint Generator,10,2010236922,16,16,0,100.00,0.93,1.43,0.47,0.50,True
Constraint Generator,11,-1182349542,16,16,0,100.00,0.89,1.78,0.47,0.50,True
Constraint Generator,12,2024232527,16,16,0,100.00,0.80,1.48,0.47,0.50,True
Constraint Generator,13,-162556909,16,16,0,100.00,0.85,1.87,0.47,0.50,True
Constraint Generator,14,-892319567,16,16,0,100.00,0.97,1.43,0.47,0.50,True
Constraint Generator,15,-705213956,16,16,0,100.00,0.89,1.43,0.47,0.50,True
Constraint Generator,16,-1432922029,16,16,0,100.00,0.94,1.48,0.47,0.50,True
Constraint Generator,17,1388608168,16,16,0,100.00,0.99,1.47,0.47,0.50,True
Constraint Generator,18,-279395723,16,16,0,100.00,1.03,1.87,0.47,0.50,True
Constraint Generator,19,286246046,16,16,0,100.00,0.98,1.87,0.47,0.50,True
Constraint Generator,20,-745534359,16,16,0,100.00,0.81,1.54,0.47,0.50,True
Constraint Generator,21,-1255033348,16,16,0,100.00,0.86,1.53,0.47,0.50,True
Constraint Generator,22,2011871154,16,16,0,100.00,0.83,1.49,0.47,0.50,True
Constraint Generator,23,-2027886887,16,16,0,100.00,0.87,1.42,0.47,0.50,True
Constraint Generator,24,1169347194,16,16,0,100.00,0.91,1.87,0.47,0.50,True
Constraint Generator,25,467888044,16,16,0,100.00,1.01,1.59,0.47,0.50,True
Constraint Generator,26,1199833356,16,16,0,100.00,0.79,1.87,0.47,0.50,True
Constraint Generator,27,320885062,16,16,0,100.00,0.70,1.42,0.47,0.50,True
Constraint Generator,28,1325913548,16,16,0,100.00,0.80,1.45,0.47,0.50,True
Constraint Generator,29,1284292354,16,16,0,100.00,1.18,1.50,0.47,0.50,True
Constraint Generator,30,1410087701,16,16,0,100.00,0.83,1.30,0.47,0.50,True
