Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,-1060465596,16,10,6,62.50,3.70,7.36,1.40,3.63,False
Random Generator,2,-387909616,16,13,3,81.25,2.75,5.98,1.28,3.26,False
Random Generator,3,-1617460930,16,14,2,87.50,3.70,7.24,1.15,3.28,False
Random Generator,4,1640531280,16,12,4,75.00,2.99,7.80,1.38,3.14,False
Random Generator,5,-145540587,16,10,6,62.50,3.53,8.39,1.48,3.26,False
Random Generator,6,-1505148888,16,13,3,81.25,2.89,7.32,1.62,4.00,False
Random Generator,7,1612369998,16,11,5,68.75,4.28,10.18,1.45,3.11,False
Random Generator,8,1973361810,16,12,4,75.00,2.96,6.47,1.59,3.84,False
Random Generator,9,995432456,16,12,4,75.00,3.29,7.29,1.62,3.61,False
Random Generator,10,1533169460,16,11,5,68.75,3.48,9.17,1.62,3.47,False
Random Generator,11,-371128005,16,13,3,81.25,2.96,6.57,1.51,3.22,False
Random Generator,12,-1058214624,16,13,3,81.25,3.00,6.20,1.73,3.09,False
Random Generator,13,-613684931,16,13,3,81.25,2.98,7.07,1.01,2.45,False
Random Generator,14,1271857645,16,7,9,43.75,4.17,10.73,2.01,3.69,False
Random Generator,15,1639724884,16,11,5,68.75,3.69,7.75,1.29,3.40,False
Random Generator,16,-1903690627,16,14,2,87.50,3.04,7.80,1.16,2.82,False
Random Generator,17,-1941025237,16,12,4,75.00,3.43,6.47,1.82,3.93,False
Random Generator,18,-1150716673,16,16,0,100.00,3.02,6.35,0.84,1.76,True
Random Generator,19,-325275134,16,12,4,75.00,3.13,9.24,1.21,2.43,False
Random Generator,20,-83570091,16,12,4,75.00,3.46,9.09,1.09,2.43,False
Random Generator,21,313910647,16,13,3,81.25,3.41,9.95,1.07,3.80,False
Random Generator,22,245262280,16,13,3,81.25,2.95,6.05,1.81,3.49,False
Random Generator,23,-1031663798,16,12,4,75.00,2.91,8.65,1.47,2.85,False
Random Generator,24,121543660,16,11,5,68.75,3.27,8.30,1.29,2.95,False
Random Generator,25,66600835,16,13,3,81.25,2.75,6.87,0.98,2.75,False
Random Generator,26,-2102181802,16,12,4,75.00,4.41,10.93,1.29,3.71,False
Random Generator,27,-121900475,16,14,2,87.50,2.67,5.17,1.50,3.28,False
Random Generator,28,711201957,16,12,4,75.00,3.15,7.81,1.86,3.74,False
Random Generator,29,971750112,16,13,3,81.25,3.15,7.85,0.95,2.77,False
Random Generator,30,-644126724,16,12,4,75.00,2.76,7.92,1.24,2.76,False
Constraint Generator,1,-1830925804,16,16,0,100.00,2.15,3.42,1.09,2.73,True
Constraint Generator,2,-451740896,16,16,0,100.00,2.10,3.35,1.06,3.06,True
Constraint Generator,3,1591520206,16,16,0,100.00,2.10,2.92,0.75,2.41,True
Constraint Generator,4,19839480,16,16,0,100.00,2.07,3.05,0.57,1.96,True
Constraint Generator,5,-980974192,16,16,0,100.00,2.00,2.93,0.75,2.34,True
Constraint Generator,6,762951912,16,16,0,100.00,2.17,3.07,0.92,2.31,True
Constraint Generator,7,154909191,16,16,0,100.00,2.00,3.24,0.81,3.37,True
Constraint Generator,8,-438968104,16,16,0,100.00,2.13,3.39,0.91,3.12,True
Constraint Generator,9,-1201787270,16,16,0,100.00,2.08,3.39,0.91,2.38,True
Constraint Generator,10,-903697288,16,16,0,100.00,2.05,3.34,1.01,2.43,True
Constraint Generator,11,-2092324191,16,16,0,100.00,2.03,3.41,0.57,1.86,True
Constraint Generator,12,976803635,16,16,0,100.00,2.04,2.98,1.29,2.75,True
Constraint Generator,13,1995204928,16,16,0,100.00,2.07,3.37,1.06,2.58,True
Constraint Generator,14,904737796,16,16,0,100.00,2.26,3.33,1.01,2.01,True
Constraint Generator,15,-838755143,16,16,0,100.00,2.01,3.38,0.73,2.83,True
Constraint Generator,16,-1924374443,16,16,0,100.00,2.01,3.22,1.03,3.11,True
Constraint Generator,17,128181228,16,16,0,100.00,2.07,3.38,1.12,2.51,True
Constraint Generator,18,-404976878,16,16,0,100.00,2.17,3.44,1.10,3.18,True
Constraint Generator,19,-53582742,16,16,0,100.00,2.10,3.41,0.72,1.29,True
Constraint Generator,20,1042638614,16,16,0,100.00,1.99,3.01,0.88,2.02,True
Constraint Generator,21,1312685869,16,16,0,100.00,2.07,3.48,0.95,3.01,True
Constraint Generator,22,1620185542,16,16,0,100.00,2.11,3.08,1.07,1.94,True
Constraint Generator,23,1868365734,16,16,0,100.00,2.08,3.41,1.24,2.78,True
Constraint Generator,24,1670631775,16,16,0,100.00,2.21,3.45,0.84,2.51,True
Constraint Generator,25,-1124321841,16,16,0,100.00,2.12,3.42,1.17,1.81,True
Constraint Generator,26,2043232505,16,16,0,100.00,2.06,3.36,0.64,1.58,True
Constraint Generator,27,1924774173,16,16,0,100.00,2.02,3.31,1.23,3.06,True
Constraint Generator,28,-1200905014,16,16,0,100.00,2.20,3.27,1.45,3.75,True
Constraint Generator,29,1726470665,16,16,0,100.00,2.09,3.41,1.62,3.70,True
Constraint Generator,30,-817955168,16,16,0,100.00,2.09,3.21,1.16,2.92,True
