Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,2001911726,16,13,3,81.25,3.00,7.69,1.33,3.88,False
Random Generator,2,-2093878568,16,12,4,75.00,3.55,8.42,1.55,2.98,False
Random Generator,3,1631198382,16,12,4,75.00,3.81,8.58,1.36,3.90,False
Random Generator,4,1820258632,16,15,1,93.75,3.36,10.62,0.90,3.32,False
Random Generator,5,841169895,16,13,3,81.25,2.78,6.68,1.60,3.94,False
Random Generator,6,-1431883084,16,16,0,100.00,2.90,6.08,0.82,1.61,True
Random Generator,7,-1121700820,16,10,6,62.50,3.85,7.87,1.22,3.18,False
Random Generator,8,280077780,16,14,2,87.50,3.27,6.15,1.19,3.79,False
Random Generator,9,-663643531,16,11,5,68.75,3.17,10.66,1.47,2.74,False
Random Generator,10,576669079,16,14,2,87.50,3.12,7.29,1.24,3.10,False
Random Generator,11,90769197,16,13,3,81.25,3.02,7.52,1.34,2.75,False
Random Generator,12,894149816,16,12,4,75.00,3.13,7.92,1.24,2.72,False
Random Generator,13,-471117841,16,11,5,68.75,3.47,10.19,1.52,3.98,False
Random Generator,14,212193766,16,13,3,81.25,3.36,7.19,1.71,3.07,False
Random Generator,15,616172128,16,15,1,93.75,2.76,5.32,1.15,3.38,False
Random Generator,16,615971714,16,10,6,62.50,3.93,8.50,1.44,2.69,False
Random Generator,17,-401716709,16,11,5,68.75,3.71,7.50,1.54,3.39,False
Random Generator,18,-370375599,16,14,2,87.50,2.95,7.68,0.92,3.22,False
Random Generator,19,-1864094298,16,14,2,87.50,3.35,8.26,1.25,2.89,False
Random Generator,20,1015347970,16,12,4,75.00,3.35,7.10,1.50,2.64,False
Random Generator,21,-1762042660,16,12,4,75.00,3.56,8.02,1.28,3.09,False
Random Generator,22,57088211,16,13,3,81.25,3.44,7.79,1.29,2.77,False
Random Generator,23,123562962,16,12,4,75.00,3.55,7.29,1.42,3.92,False
Random Generator,24,374373072,16,14,2,87.50,2.83,5.40,1.63,3.84,False
Random Generator,25,1597573512,16,14,2,87.50,2.95,6.16,1.57,3.75,False
Random Generator,26,177225,16,12,4,75.00,3.38,10.24,1.42,3.65,False
Random Generator,27,-2120883513,16,11,5,68.75,4.02,7.62,1.29,3.26,False
Random Generator,28,506268448,16,13,3,81.25,2.91,7.56,1.46,3.33,False
Random Generator,29,1429429871,16,12,4,75.00,2.91,8.46,0.94,2.98,False
Random Generator,30,-2048903129,16,12,4,75.00,2.95,5.67,1.56,3.11,False
Constraint Generator,1,-798162927,16,16,0,100.00,2.11,3.05,1.02,2.25,True
Constraint Generator,2,1173313695,16,16,0,100.00,2.12,3.45,1.26,2.52,True
Constraint Generator,3,1855426382,16,16,0,100.00,2.17,3.32,1.27,3.16,True
Constraint Generator,4,365040668,16,16,0,100.00,2.02,3.22,1.01,1.86,True
Constraint Generator,5,-1164838496,16,16,0,100.00,2.07,3.04,0.94,1.91,True
Constraint Generator,6,398891231,16,16,0,100.00,2.02,3.24,0.75,1.84,True
Constraint Generator,7,1238819527,16,16,0,100.00,2.14,3.17,1.09,2.16,True
Constraint Generator,8,1875996589,16,16,0,100.00,2.14,3.32,1.16,2.80,True
Constraint Generator,9,-535124112,16,16,0,100.00,2.12,3.41,0.82,1.85,True
Constraint Generator,10,82018668,16,16,0,100.00,2.07,3.07,1.29,2.57,True
Constraint Generator,11,-2084009700,16,16,0,100.00,2.07,3.37,0.83,1.70,True
Constraint Generator,12,-2034501107,16,16,0,100.00,2.07,3.38,1.12,3.35,True
Constraint Generator,13,343853955,16,16,0,100.00,2.09,3.38,1.33,2.76,True
Constraint Generator,14,1037766262,16,16,0,100.00,2.11,3.31,0.96,1.81,True
Constraint Generator,15,-384160659,16,16,0,100.00,2.14,3.43,0.71,2.53,True
Constraint Generator,16,985472370,16,16,0,100.00,2.09,3.01,0.97,3.19,True
Constraint Generator,17,1014760705,16,16,0,100.00,2.10,3.46,1.31,3.56,True
Constraint Generator,18,-471829262,16,16,0,100.00,2.21,3.49,1.29,2.68,True
Constraint Generator,19,-2053789265,16,16,0,100.00,2.08,3.31,1.24,2.56,True
Constraint Generator,20,-1133369993,16,16,0,100.00,2.13,3.15,1.00,2.84,True
Constraint Generator,21,-1770952418,16,16,0,100.00,2.20,3.39,1.18,3.41,True
Constraint Generator,22,-991088729,16,16,0,100.00,2.04,3.37,1.23,3.31,True
Constraint Generator,23,159774503,16,16,0,100.00,2.11,3.39,1.04,2.42,True
Constraint Generator,24,-738561887,16,16,0,100.00,1.95,3.23,0.98,3.07,True
Constraint Generator,25,964975762,16,16,0,100.00,2.01,3.01,1.01,1.93,True
Constraint Generator,26,1287379817,16,16,0,100.00,2.19,3.48,1.24,2.28,True
Constraint Generator,27,1199933975,16,16,0,100.00,2.18,3.36,1.09,3.00,True
Constraint Generator,28,1167598212,16,16,0,100.00,2.09,2.96,1.05,2.79,True
Constraint Generator,29,-397371999,16,16,0,100.00,2.07,3.32,0.69,1.76,True
Constraint Generator,30,-1042822473,16,16,0,100.00,1.95,2.94,1.32,3.46,True
