Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,141333005,16,13,3,81.25,3.32,8.81,1.74,3.92,False
Random Generator,2,-1145509688,16,12,4,75.00,3.31,7.98,1.60,2.87,False
Random Generator,3,1157030901,16,13,3,81.25,3.38,8.48,1.57,3.81,False
Random Generator,4,-1883498759,16,11,5,68.75,4.49,9.92,1.35,2.51,False
Random Generator,5,760521920,16,10,6,62.50,4.10,9.92,1.32,3.09,False
Random Generator,6,979701848,16,10,6,62.50,3.09,9.91,2.20,3.72,False
Random Generator,7,-821432672,16,10,6,62.50,3.61,10.08,1.47,2.68,False
Random Generator,8,433876668,16,9,7,56.25,3.84,10.11,1.58,3.89,False
Random Generator,9,1000708430,16,13,3,81.25,3.18,7.70,1.35,3.49,False
Random Generator,10,1381059846,16,10,6,62.50,3.72,9.74,1.21,3.50,False
Random Generator,11,-1318452062,16,9,7,56.25,4.72,10.18,1.38,3.54,False
Random Generator,12,2045065334,16,13,3,81.25,3.27,7.70,1.58,3.30,False
Random Generator,13,-1444444761,16,13,3,81.25,2.57,6.21,1.78,3.40,False
Random Generator,14,-1579610757,16,12,4,75.00,3.67,8.57,1.43,3.30,False
Random Generator,15,2009688873,16,9,7,56.25,3.54,7.56,1.71,3.40,False
Random Generator,16,-1980220668,16,13,3,81.25,3.25,9.51,1.38,3.32,False
Random Generator,17,203350721,16,12,4,75.00,2.93,6.80,2.01,3.89,False
Random Generator,18,-1958228620,16,12,4,75.00,3.39,8.47,1.02,2.05,False
Random Generator,19,-978472191,16,14,2,87.50,2.46,4.63,1.39,3.50,False
Random Generator,20,-1595489135,16,12,4,75.00,3.37,6.94,1.39,3.89,False
Random Generator,21,-1767445562,16,14,2,87.50,2.62,7.46,1.41,3.94,False
Random Generator,22,741970976,16,14,2,87.50,2.94,5.50,1.23,2.84,False
Random Generator,23,890708529,16,13,3,81.25,3.23,7.55,1.30,2.68,False
Random Generator,24,-74684493,16,11,5,68.75,3.71,10.12,1.72,3.65,False
Random Generator,25,1728190388,16,15,1,93.75,3.66,9.24,1.18,2.93,False
Random Generator,26,345513570,16,14,2,87.50,2.71,4.57,1.58,2.76,False
Random Generator,27,1911070810,16,12,4,75.00,3.03,6.37,1.71,3.86,False
Random Generator,28,-2143093994,16,13,3,81.25,3.30,7.19,1.43,2.80,False
Random Generator,29,-1039933038,16,12,4,75.00,2.60,7.81,1.24,3.70,False
Random Generator,30,-988110717,16,12,4,75.00,4.08,10.63,1.34,3.07,False
Constraint Generator,1,1961195687,16,16,0,100.00,2.00,3.22,0.47,1.56,True
Constraint Generator,2,-734560332,16,16,0,100.00,2.07,3.17,0.97,2.85,True
Constraint Generator,3,1145960192,16,16,0,100.00,2.18,3.34,1.19,3.82,True
Constraint Generator,4,936046498,16,16,0,100.00,1.98,3.18,0.85,1.99,True
Constraint Generator,5,-282318433,16,16,0,100.00,2.08,2.71,0.94,2.15,True
Constraint Generator,6,-1682121247,16,16,0,100.00,2.07,3.34,1.23,3.52,True
Constraint Generator,7,-1521544078,16,16,0,100.00,2.11,3.31,1.20,3.67,True
Constraint Generator,8,237087496,16,16,0,100.00,2.12,3.44,0.88,2.71,True
Constraint Generator,9,-2070955733,16,16,0,100.00,1.98,3.41,1.41,3.51,True
Constraint Generator,10,-624508164,16,16,0,100.00,2.07,3.28,0.77,2.46,True
Constraint Generator,11,100982828,16,16,0,100.00,2.07,2.87,1.14,2.06,True
Constraint Generator,12,1829048371,16,16,0,100.00,2.12,2.98,1.34,2.93,True
Constraint Generator,13,-744699684,16,16,0,100.00,1.99,3.30,0.67,1.41,True
Constraint Generator,14,-825638764,16,16,0,100.00,2.19,3.33,1.08,2.88,True
Constraint Generator,15,-2038804041,16,16,0,100.00,2.17,3.38,1.06,1.97,True
Constraint Generator,16,1546924389,16,16,0,100.00,2.15,2.91,1.17,2.66,True
Constraint Generator,17,-781213697,16,16,0,100.00,2.06,3.42,1.53,3.61,True
Constraint Generator,18,550285222,16,16,0,100.00,2.03,3.38,1.09,2.90,True
Constraint Generator,19,1008473691,16,16,0,100.00,2.17,3.47,1.02,3.01,True
Constraint Generator,20,1300936220,16,16,0,100.00,2.10,3.36,0.85,2.96,True
Constraint Generator,21,1556180955,16,16,0,100.00,2.03,3.31,0.68,1.55,True
Constraint Generator,22,-680740266,16,16,0,100.00,2.07,3.46,0.93,1.97,True
Constraint Generator,23,-876509437,16,16,0,100.00,2.11,3.28,1.15,2.70,True
Constraint Generator,24,-185681241,16,16,0,100.00,2.19,3.09,1.40,3.59,True
Constraint Generator,25,-1098980081,16,16,0,100.00,2.11,3.22,1.10,2.08,True
Constraint Generator,26,-1505175658,16,16,0,100.00,2.16,3.37,0.89,2.87,True
Constraint Generator,27,505495150,16,16,0,100.00,2.07,3.38,1.07,2.05,True
Constraint Generator,28,84143228,16,16,0,100.00,2.08,3.17,1.07,3.24,True
Constraint Generator,29,347977706,16,16,0,100.00,2.10,3.39,0.90,2.09,True
Constraint Generator,30,822728402,16,16,0,100.00,2.11,3.19,1.48,1.99,True
